User,Bot,formatted
is there enlargement of the abdominal aorta on this image?,no,"User: is there enlargement of the abdominal aorta on this image? 
Bot: no
"
how would you characterize the lesion?,ring enhancing lesion,"User: how would you characterize the lesion? 
Bot: ring enhancing lesion
"
what type of image modality is this?,mr flair,"User: what type of image modality is this? 
Bot: mr flair
"
does the image show midline shift?,yes,"User: does the image show midline shift? 
Bot: yes
"
what pathology is shown in the aorta?,it is enlarged with prominence of the aortic knob,"User: what pathology is shown in the aorta? 
Bot: it is enlarged with prominence of the aortic knob
"
does this ct use iv contrast material?,no,"User: does this ct use iv contrast material? 
Bot: no
"
is there sign of perforated bowel?,no,"User: is there sign of perforated bowel? 
Bot: no
"
is there any presence of tracheal deviation?,no,"User: is there any presence of tracheal deviation? 
Bot: no
"
is this a noncontrast ct?,yes,"User: is this a noncontrast ct? 
Bot: yes
"
where is the lesion?,abdomen and pelvis,"User: where is the lesion? 
Bot: abdomen and pelvis
"
is the image enough to diagnose?,no,"User: is the image enough to diagnose? 
Bot: no
"
what is the most important abnormality found in this image?,width of aorta,"User: what is the most important abnormality found in this image? 
Bot: width of aorta
"
is there hemorrhage?,no,"User: is there hemorrhage? 
Bot: no
"
describe the size of this lesion?,"5.6cm focal, predominantly hypodense","User: describe the size of this lesion? 
Bot: 5.6cm focal, predominantly hypodense
"
what is the abnormality seen above the heart on the patient's right side?,right sided aortic arch,"User: what is the abnormality seen above the heart on the patient's right side? 
Bot: right sided aortic arch
"
what are these densities inside the intestines?,contrast,"User: what are these densities inside the intestines? 
Bot: contrast
"
the dark areas of the image show what type of brain matter?,white matter,"User: the dark areas of the image show what type of brain matter? 
Bot: white matter
"
is the abnormality hyper intense?,yes,"User: is the abnormality hyper intense? 
Bot: yes
"
what does the enhancing periphery of the mass represent?,calcification,"User: what does the enhancing periphery of the mass represent? 
Bot: calcification
"
are the kidneys visualized?,yes,"User: are the kidneys visualized? 
Bot: yes
"
is the cortex atrophied?,no,"User: is the cortex atrophied? 
Bot: no
"
what other organs are present?,the lungs,"User: what other organs are present? 
Bot: the lungs
"
was oral or iv contrast used?,both,"User: was oral or iv contrast used? 
Bot: both
"
is this a mid-sagittal film?,no,"User: is this a mid-sagittal film? 
Bot: no
"
what are the hyperintensities seen in the bilateral kidneys?,contrast,"User: what are the hyperintensities seen in the bilateral kidneys? 
Bot: contrast
"
is there evidence of periappendiceal fluid and fat stranding?,yes,"User: is there evidence of periappendiceal fluid and fat stranding? 
Bot: yes
"
what vascular territory is the lesion?,right mca,"User: what vascular territory is the lesion? 
Bot: right mca
"
is the cardiac silhouette enlarged?,no,"User: is the cardiac silhouette enlarged? 
Bot: no
"
is there evidence of calcification?,no,"User: is there evidence of calcification? 
Bot: no
"
where is the lateral ventricle?,left hemisphere,"User: where is the lateral ventricle? 
Bot: left hemisphere
"
what is located near the left kidney,splenule,"User: what is located near the left kidney 
Bot: splenule
"
is there an ng tube present?,yes,"User: is there an ng tube present? 
Bot: yes
"
what are the two bright images on either side,hip bones,"User: what are the two bright images on either side 
Bot: hip bones
"
what is the location of the hyperintensitites?,cortical ribbon of right occipital lobe with extension into right posterior temporal lobe,"User: what is the location of the hyperintensitites? 
Bot: cortical ribbon of right occipital lobe with extension into right posterior temporal lobe
"
is the contrast in the bowels or the vasculature?,in the bowels,"User: is the contrast in the bowels or the vasculature? 
Bot: in the bowels
"
is the mass a cyst?,yes,"User: is the mass a cyst? 
Bot: yes
"
does this cxr display pneumoperitoneum?,no,"User: does this cxr display pneumoperitoneum? 
Bot: no
"
are adrenal glands present in this image?,no,"User: are adrenal glands present in this image? 
Bot: no
"
does this lesion involve the vascular system?,yes,"User: does this lesion involve the vascular system? 
Bot: yes
"
is there pneumothorax?,no,"User: is there pneumothorax? 
Bot: no
"
is the medulla swollen?,yes,"User: is the medulla swollen? 
Bot: yes
"
where in this image are the bowel loops?,left side,"User: where in this image are the bowel loops? 
Bot: left side
"
notice any abnormality in the kidneys?,no,"User: notice any abnormality in the kidneys? 
Bot: no
"
what is one adjective to describe the lesion(s)?,loculated,"User: what is one adjective to describe the lesion(s)? 
Bot: loculated
"
what brain structures would be affected by the lesion in the right frontal area of the brain?,basal ganglia (caudate and putamen),"User: what brain structures would be affected by the lesion in the right frontal area of the brain? 
Bot: basal ganglia (caudate and putamen)
"
where are the abnormalities?,bilateral,"User: where are the abnormalities? 
Bot: bilateral
"
what hemisphere are the lesions located in?,bilateral,"User: what hemisphere are the lesions located in? 
Bot: bilateral
"
what pathology is shown at the lung bases?,nodules,"User: what pathology is shown at the lung bases? 
Bot: nodules
"
is the abnormality focal or diffuse?,diffuse,"User: is the abnormality focal or diffuse? 
Bot: diffuse
"
what was this image taken with?,x-ray,"User: what was this image taken with? 
Bot: x-ray
"
does this image display the contents of the abdomen?,yes,"User: does this image display the contents of the abdomen? 
Bot: yes
"
describe the borders of the lesion.,smooth,"User: describe the borders of the lesion. 
Bot: smooth
"
are calcifications present?,yes,"User: are calcifications present? 
Bot: yes
"
can the kidneys be visualized in this ct scan?,yes,"User: can the kidneys be visualized in this ct scan? 
Bot: yes
"
what are the white nodules on bilateral kidneys?,contrast,"User: what are the white nodules on bilateral kidneys? 
Bot: contrast
"
is the stomach wall thickening symmetric or asymmetric?,asymmetric,"User: is the stomach wall thickening symmetric or asymmetric? 
Bot: asymmetric
"
how would you describe the r vertebral artery shape?,short section irregular contour,"User: how would you describe the r vertebral artery shape? 
Bot: short section irregular contour
"
are the margins of the cardiac silhouette normal?,no,"User: are the margins of the cardiac silhouette normal? 
Bot: no
"
is there ascites present?,yes,"User: is there ascites present? 
Bot: yes
"
what is located in the sigmoid colon?,diverticuli,"User: what is located in the sigmoid colon? 
Bot: diverticuli
"
is free air present under the patient's left or right hemidiaphragm?,right,"User: is free air present under the patient's left or right hemidiaphragm? 
Bot: right
"
how large is the mass?,5cm,"User: how large is the mass? 
Bot: 5cm
"
are any ribs in the image fractured?,no,"User: are any ribs in the image fractured? 
Bot: no
"
is a pleural effusion present?,no,"User: is a pleural effusion present? 
Bot: no
"
what could cause this finding?,congenital developmental disorder? history of surgery and past manipulation?,"User: what could cause this finding? 
Bot: congenital developmental disorder? history of surgery and past manipulation?
"
is the consistency of the abscess located in the left upper quadrant homogeneous or heterogeneous?,heterogeneous,"User: is the consistency of the abscess located in the left upper quadrant homogeneous or heterogeneous? 
Bot: heterogeneous
"
is there oral contrast located in the colon?,yes,"User: is there oral contrast located in the colon? 
Bot: yes
"
what organ is enlarged?,spleen,"User: what organ is enlarged? 
Bot: spleen
"
describe the density of this lesion?,"5.6cm focal, predominantly hypodense","User: describe the density of this lesion? 
Bot: 5.6cm focal, predominantly hypodense
"
where in the cortex are the lesions present?,diffuse,"User: where in the cortex are the lesions present? 
Bot: diffuse
"
is there anoxic brain infarction?,yes,"User: is there anoxic brain infarction? 
Bot: yes
"
was this mri taken with or without contrast?,with contrast,"User: was this mri taken with or without contrast? 
Bot: with contrast
"
is the spleen normal size?,yes,"User: is the spleen normal size? 
Bot: yes
"
where is the cavitary lesion?,right upper lobe,"User: where is the cavitary lesion? 
Bot: right upper lobe
"
is there contrast in this image,yes,"User: is there contrast in this image 
Bot: yes
"
is there a midline shift?,no,"User: is there a midline shift? 
Bot: no
"
which lobes of the lung contain a higher density of masses?,upper lobes,"User: which lobes of the lung contain a higher density of masses? 
Bot: upper lobes
"
what cancer does this patient have?,hepatocellular carcioma,"User: what cancer does this patient have? 
Bot: hepatocellular carcioma
"
is there a skull fracture?,no,"User: is there a skull fracture? 
Bot: no
"
is there any other alteration in the image?,no,"User: is there any other alteration in the image? 
Bot: no
"
is the abnormality hyperintense or hypointense?,hyperintense,"User: is the abnormality hyperintense or hypointense? 
Bot: hyperintense
"
what kind of image is this?,chest x-ray,"User: what kind of image is this? 
Bot: chest x-ray
"
what plane is this x-ray in?,pa,"User: what plane is this x-ray in? 
Bot: pa
"
is the mass in the liver regular or irregular in contour?,irregular,"User: is the mass in the liver regular or irregular in contour? 
Bot: irregular
"
is lymphadenopathy present?,no,"User: is lymphadenopathy present? 
Bot: no
"
what vein is occluded?,portal vein,"User: what vein is occluded? 
Bot: portal vein
"
which plane is the image shown in?,axial,"User: which plane is the image shown in? 
Bot: axial
"
is this a standing cxr,no,"User: is this a standing cxr 
Bot: no
"
what is wrong with the pancreas?,fatty infiltration,"User: what is wrong with the pancreas? 
Bot: fatty infiltration
"
is there evidence of air fluid levels in the patient's bowel?,yes,"User: is there evidence of air fluid levels in the patient's bowel? 
Bot: yes
"
do the pulmonary arteries appear enlarged?,yes,"User: do the pulmonary arteries appear enlarged? 
Bot: yes
"
what do the masses contain?,fat,"User: what do the masses contain? 
Bot: fat
"
is there wall enhancement of the gb?,yes,"User: is there wall enhancement of the gb? 
Bot: yes
"
is this image sufficient to diagnose pericardial effusion?,no,"User: is this image sufficient to diagnose pericardial effusion? 
Bot: no
"
does a blocked alveoli cause a v/q mismatch?,yes,"User: does a blocked alveoli cause a v/q mismatch? 
Bot: yes
"
what is abnormal about the image?,white matter plaques,"User: what is abnormal about the image? 
Bot: white matter plaques
"
is there air in the peritoneal cavity?,yes,"User: is there air in the peritoneal cavity? 
Bot: yes
"
is the lesion enhancing?,yes,"User: is the lesion enhancing? 
Bot: yes
"
is there a vertebral fracture?,no,"User: is there a vertebral fracture? 
Bot: no
"
are the findings normal?,no,"User: are the findings normal? 
Bot: no
"
is there a lung mass?,yes,"User: is there a lung mass? 
Bot: yes
"
are the ventricles unaltered?,no,"User: are the ventricles unaltered? 
Bot: no
"
what solid organ is seen on the right side of this image?,the liver,"User: what solid organ is seen on the right side of this image? 
Bot: the liver
"
is there hilar lymphadenopathy?,yes,"User: is there hilar lymphadenopathy? 
Bot: yes
"
where is the infarct?,left cerebellum,"User: where is the infarct? 
Bot: left cerebellum
"
can you see the kidneys,yes,"User: can you see the kidneys 
Bot: yes
"
where is the gastric bubble placed?,underneath the right hemidiaphragm,"User: where is the gastric bubble placed? 
Bot: underneath the right hemidiaphragm
"
what part of the brain is seen in this image?,cerebellum,"User: what part of the brain is seen in this image? 
Bot: cerebellum
"
what plane is seen?,pa,"User: what plane is seen? 
Bot: pa
"
can a pleural effusion be appreciated on the right side?,no,"User: can a pleural effusion be appreciated on the right side? 
Bot: no
"
is the liver abnormal?,no,"User: is the liver abnormal? 
Bot: no
"
are the orbits in view of this image?,yes,"User: are the orbits in view of this image? 
Bot: yes
"
any abnormal findings in the lower lung fields?,no,"User: any abnormal findings in the lower lung fields? 
Bot: no
"
where is the lesion located?,retrocardiac,"User: where is the lesion located? 
Bot: retrocardiac
"
where is the mass?,pituitary fossa,"User: where is the mass? 
Bot: pituitary fossa
"
is the pancreatic mass enhancing?,no,"User: is the pancreatic mass enhancing? 
Bot: no
"
is the heart enlarged?,yes,"User: is the heart enlarged? 
Bot: yes
"
what is meant by tram-track?,thickening of bronchi,"User: what is meant by tram-track? 
Bot: thickening of bronchi
"
is this a cystic or solid mass?,cystic,"User: is this a cystic or solid mass? 
Bot: cystic
"
is the image in the axial plane?,yes,"User: is the image in the axial plane? 
Bot: yes
"
is there edema?,yes,"User: is there edema? 
Bot: yes
"
"there is mesenteric lymphadenopathy present, what additional region is seeded?",peritoneum,"User: there is mesenteric lymphadenopathy present, what additional region is seeded? 
Bot: peritoneum
"
which hemisphere is the ischemia located?,right hemisphere,"User: which hemisphere is the ischemia located? 
Bot: right hemisphere
"
is the appendix visualized with contrast?,no,"User: is the appendix visualized with contrast? 
Bot: no
"
is the heart enlarged?,no,"User: is the heart enlarged? 
Bot: no
"
what type of image is this?,chest xray,"User: what type of image is this? 
Bot: chest xray
"
is a pneumothorax present near the right lung field?,yes,"User: is a pneumothorax present near the right lung field? 
Bot: yes
"
is there a pneumothorax?,no,"User: is there a pneumothorax? 
Bot: no
"
is the et tube properly placed?,yes,"User: is the et tube properly placed? 
Bot: yes
"
is the heart too big?,no,"User: is the heart too big? 
Bot: no
"
can the white and gray matter be differentiated?,yes,"User: can the white and gray matter be differentiated? 
Bot: yes
"
the dark space in the central portion of the image represents what structure(s)?,lateral ventricles,"User: the dark space in the central portion of the image represents what structure(s)? 
Bot: lateral ventricles
"
the increased signal is a result of what material?,fluid,"User: the increased signal is a result of what material? 
Bot: fluid
"
is the cerebellum visible?,no,"User: is the cerebellum visible? 
Bot: no
"
does this image show a normal gallbladder?,no,"User: does this image show a normal gallbladder? 
Bot: no
"
is the liver normal?,no,"User: is the liver normal? 
Bot: no
"
is there any hemorrhage?,no,"User: is there any hemorrhage? 
Bot: no
"
is the corpus callosum involved?,yes,"User: is the corpus callosum involved? 
Bot: yes
"
what would you call the lesions seen?,ms plaques,"User: what would you call the lesions seen? 
Bot: ms plaques
"
is this an axial image?,yes,"User: is this an axial image? 
Bot: yes
"
is this a hepatic mass?,yes,"User: is this a hepatic mass? 
Bot: yes
"
is the mass enhancing?,no,"User: is the mass enhancing? 
Bot: no
"
is the heart enlarged?,no,"User: is the heart enlarged? 
Bot: no
"
which cardiac border is more prominently visualized?,left,"User: which cardiac border is more prominently visualized? 
Bot: left
"
what side is the lesion located on?,right,"User: what side is the lesion located on? 
Bot: right
"
is there a fracture of the left humerus?,no,"User: is there a fracture of the left humerus? 
Bot: no
"
which organ system is imaged?,chest,"User: which organ system is imaged? 
Bot: chest
"
is the right conal fascia inflammed?,yes,"User: is the right conal fascia inflammed? 
Bot: yes
"
is the mass compressing the inferior vena cava?,no,"User: is the mass compressing the inferior vena cava? 
Bot: no
"
are the sulci visible in this image?,no,"User: are the sulci visible in this image? 
Bot: no
"
is the lesion causing significant brainstem herniation?,no,"User: is the lesion causing significant brainstem herniation? 
Bot: no
"
is the liver abnormal?,no,"User: is the liver abnormal? 
Bot: no
"
is this a contrast ct or a non-contrast ct?,non-contrast ct,"User: is this a contrast ct or a non-contrast ct? 
Bot: non-contrast ct
"
what differentiates the common bile duct and cystic duct?,cystic duct is more tortuous,"User: what differentiates the common bile duct and cystic duct? 
Bot: cystic duct is more tortuous
"
what is the location of the mass,anterior to the transverse colon,"User: what is the location of the mass 
Bot: anterior to the transverse colon
"
the infarction is likely caused by what vessel?,left mca,"User: the infarction is likely caused by what vessel? 
Bot: left mca
"
in which lobe is the nodule located?,left upper lobe,"User: in which lobe is the nodule located? 
Bot: left upper lobe
"
which ribs are located near the abnormality seen in this image?,4th and 5th,"User: which ribs are located near the abnormality seen in this image? 
Bot: 4th and 5th
"
is there evidence of hemorrhage?,no,"User: is there evidence of hemorrhage? 
Bot: no
"
is this an abnormal film?,yes,"User: is this an abnormal film? 
Bot: yes
"
how was this image taken?,with contrast,"User: how was this image taken? 
Bot: with contrast
"
is the gallbladder distended?,no,"User: is the gallbladder distended? 
Bot: no
"
where is the pathology located?,anterior cerebrum,"User: where is the pathology located? 
Bot: anterior cerebrum
"
are there air fluid levels?,yes,"User: are there air fluid levels? 
Bot: yes
"
what organ system is shown in the above image?,cardiopulmonary,"User: what organ system is shown in the above image? 
Bot: cardiopulmonary
"
what shape would the lesion be if this were a subdural hematoma?,crescent,"User: what shape would the lesion be if this were a subdural hematoma? 
Bot: crescent
"
which half the cerebellum is the largest mass located?,right,"User: which half the cerebellum is the largest mass located? 
Bot: right
"
do the lungs appear hyperinflated?,yes,"User: do the lungs appear hyperinflated? 
Bot: yes
"
is there fluid accumulation near the lesion?,yes,"User: is there fluid accumulation near the lesion? 
Bot: yes
"
does the mass have a smooth appearing border?,yes,"User: does the mass have a smooth appearing border? 
Bot: yes
"
are there gallstones?,yes,"User: are there gallstones? 
Bot: yes
"
are these small opacities in the right lung calcifications?,no,"User: are these small opacities in the right lung calcifications? 
Bot: no
"
is this image a ct scan?,no,"User: is this image a ct scan? 
Bot: no
"
where are the hyperintensities located?,cortical ribbon of right occipital lobe with extension into right posterior temporal lobe,"User: where are the hyperintensities located? 
Bot: cortical ribbon of right occipital lobe with extension into right posterior temporal lobe
"
is the brain scan normal?,no,"User: is the brain scan normal? 
Bot: no
"
is the celiac trunk visualized?,yes,"User: is the celiac trunk visualized? 
Bot: yes
"
where is the mass in the liver?,left hepatic lobe,"User: where is the mass in the liver? 
Bot: left hepatic lobe
"
where is the abnormality in this image?,hyperintensity of the left basal ganglia,"User: where is the abnormality in this image? 
Bot: hyperintensity of the left basal ganglia
"
is the heart size abnormal,no,"User: is the heart size abnormal 
Bot: no
"
what is seen in the posterolateral l kidney?,nephroblastomatosis,"User: what is seen in the posterolateral l kidney? 
Bot: nephroblastomatosis
"
are both kidneys visible?,yes,"User: are both kidneys visible? 
Bot: yes
"
"what does tram-track""-ing indictate?""",bronchiectasis,"User: what does tram-track""-ing indictate?"" 
Bot: bronchiectasis
"
has the brainstem herniated?,no,"User: has the brainstem herniated? 
Bot: no
"
is the lesion located in gray or white matter?,white matter,"User: is the lesion located in gray or white matter? 
Bot: white matter
"
what does the small white lesions in the aorta mean,calcification,"User: what does the small white lesions in the aorta mean 
Bot: calcification
"
what is the brightness in the abdominal aorta?,atherosclerotic calcification,"User: what is the brightness in the abdominal aorta? 
Bot: atherosclerotic calcification
"
what indicates there is no pleural effusion present?,sharp costophrenic angles,"User: what indicates there is no pleural effusion present? 
Bot: sharp costophrenic angles
"
what organ exhibits pathology,jejunum,"User: what organ exhibits pathology 
Bot: jejunum
"
is this a contrast or non contrast ct?,non-contrast,"User: is this a contrast or non contrast ct? 
Bot: non-contrast
"
is the brain atrophied or shrunk?,no,"User: is the brain atrophied or shrunk? 
Bot: no
"
is the skull fractured?,no,"User: is the skull fractured? 
Bot: no
"
what are common causes of cystic and cbd obstruction?,"tumors, gallstones","User: what are common causes of cystic and cbd obstruction? 
Bot: tumors, gallstones
"
is the aorta visualized?,yes,"User: is the aorta visualized? 
Bot: yes
"
are there more than 5 enlarged (>1 cm) lymph nodes around the stomach,yes,"User: are there more than 5 enlarged (>1 cm) lymph nodes around the stomach 
Bot: yes
"
can you appreciate a pleural effusion?,no,"User: can you appreciate a pleural effusion? 
Bot: no
"
is there increased airway wall thickening of the bilateral bases?,yes,"User: is there increased airway wall thickening of the bilateral bases? 
Bot: yes
"
is the aorta encompassed by the mass?,no,"User: is the aorta encompassed by the mass? 
Bot: no
"
which organ system is shown in the image?,brain,"User: which organ system is shown in the image? 
Bot: brain
"
are the hilar soft tissue densities symmetric?,no,"User: are the hilar soft tissue densities symmetric? 
Bot: no
"
is this ct scan enhanced by iv contrast?,yes,"User: is this ct scan enhanced by iv contrast? 
Bot: yes
"
is there a pneumothorax?,no,"User: is there a pneumothorax? 
Bot: no
"
are there multiple lesions in the chest of the above patient?,no,"User: are there multiple lesions in the chest of the above patient? 
Bot: no
"
is the liver cirrhotic?,yes,"User: is the liver cirrhotic? 
Bot: yes
"
what is the hypodensity in the posterior left?,the posterior horn of the left lateral ventricle,"User: what is the hypodensity in the posterior left? 
Bot: the posterior horn of the left lateral ventricle
"
is this mass located in the liver?,yes,"User: is this mass located in the liver? 
Bot: yes
"
is the pulmonary system shown?,yes,"User: is the pulmonary system shown? 
Bot: yes
"
is a pneuomothorax present?,no,"User: is a pneuomothorax present? 
Bot: no
"
does this xray show an intubated patient?,no,"User: does this xray show an intubated patient? 
Bot: no
"
is cortical atrophy present?,no,"User: is cortical atrophy present? 
Bot: no
"
how many lesions are present in the image?,one,"User: how many lesions are present in the image? 
Bot: one
"
is the renal system dilated?,yes,"User: is the renal system dilated? 
Bot: yes
"
which lung lobe is the lesion present in?,right lower lobe,"User: which lung lobe is the lesion present in? 
Bot: right lower lobe
"
is there dilation of the bowel?,yes,"User: is there dilation of the bowel? 
Bot: yes
"
which lung has a defect?,left,"User: which lung has a defect? 
Bot: left
"
how long does this imaging modality take to complete? (hours?	minutes?),~15 minutes	potentially faster with newer imaging systems,"User: how long does this imaging modality take to complete? (hours?	minutes?) 
Bot: ~15 minutes	potentially faster with newer imaging systems
"
which side is the lateral ventricle visible on?,left,"User: which side is the lateral ventricle visible on? 
Bot: left
"
what organ is primarily evaluated in this image?,lungs,"User: what organ is primarily evaluated in this image? 
Bot: lungs
"
does this image show a pneumothorax?,no,"User: does this image show a pneumothorax? 
Bot: no
"
are the findings normal?,no,"User: are the findings normal? 
Bot: no
"
is iv contrast used?,yes,"User: is iv contrast used? 
Bot: yes
"
is this a chest x-ray?,yes,"User: is this a chest x-ray? 
Bot: yes
"
how can the distribution in this image be described?,micronodular,"User: how can the distribution in this image be described? 
Bot: micronodular
"
does the gallbladder appear distended?,yes,"User: does the gallbladder appear distended? 
Bot: yes
"
what is the likely sex of this patient?,female,"User: what is the likely sex of this patient? 
Bot: female
"
is the largest air collection on the patient's left or the right side?,right side,"User: is the largest air collection on the patient's left or the right side? 
Bot: right side
"
is this a chest radiograph?,yes,"User: is this a chest radiograph? 
Bot: yes
"
"what organ is seen in the left posterior portion of this image, to the left of the spinal column?",the left kidney,"User: what organ is seen in the left posterior portion of this image, to the left of the spinal column? 
Bot: the left kidney
"
this image is suspicious of what cancerous pathology?,hepatocellular carcioma,"User: this image is suspicious of what cancerous pathology? 
Bot: hepatocellular carcioma
"
what organ system is this?,cns,"User: what organ system is this? 
Bot: cns
"
was this image taken with patient in symmetrical supine position?,yes,"User: was this image taken with patient in symmetrical supine position? 
Bot: yes
"
what pathology does the pancreas deominstrate?,fatty infiltration,"User: what pathology does the pancreas deominstrate? 
Bot: fatty infiltration
"
are both kidneys in view?,yes,"User: are both kidneys in view? 
Bot: yes
"
what region of the brain shows hyperintensity?,right lenticular nucleus,"User: what region of the brain shows hyperintensity? 
Bot: right lenticular nucleus
"
is the mass in the left or right side?,left,"User: is the mass in the left or right side? 
Bot: left
"
